"Well_ID","Row","Col","CTG","WELL_ID","Units","Concentration","Compound_ID","Patient","Description"
"B2","B",2,25573,NA,"uM",0,"Media","Org64","negative_control"
"B3","B",3,415,"B03","uM",20,"Staurosporine","Org64","positive_control"
"B4","B",4,395,"B04","uM",10,"Staurosporine","Org64","positive_control"
"B5","B",5,803,"B05","uM",7.5,"Staurosporine","Org64","positive_control"
"B6","B",6,1231,"B06","uM",5,"Staurosporine","Org64","positive_control"
"B7","B",7,1718,"B07","uM",2,"Staurosporine","Org64","positive_control"
"B8","B",8,1139,"B08","uM",1,"Staurosporine","Org64","positive_control"
"B9","B",9,1030,"B09","uM",0.75,"Staurosporine","Org64","positive_control"
"B10","B",10,1155,"B10","uM",0.5,"Staurosporine","Org64","positive_control"
"B11","B",11,1869,"B11","uM",0.2,"Staurosporine","Org64","positive_control"
"B12","B",12,2758,"B12","uM",0.1,"Staurosporine","Org64","positive_control"
"B13","B",13,20014,NA,"uM",0,"Media","Org64","negative_control"
"B14","B",14,11129,"B14","uM",20,"Carboplatin","Org64","Sample"
"B15","B",15,12680,"B15","uM",10,"Carboplatin","Org64","Sample"
"B16","B",16,10802,"B16","uM",7.5,"Carboplatin","Org64","Sample"
"B17","B",17,14431,"B17","uM",5,"Carboplatin","Org64","Sample"
"B18","B",18,14855,"B18","uM",2,"Carboplatin","Org64","Sample"
"B19","B",19,16756,"B19","uM",1,"Carboplatin","Org64","Sample"
"B20","B",20,17860,"B20","uM",0.75,"Carboplatin","Org64","Sample"
"B21","B",21,19065,"B21","uM",0.5,"Carboplatin","Org64","Sample"
"B22","B",22,21349,"B22","uM",0.2,"Carboplatin","Org64","Sample"
"B23","B",23,23106,"B23","uM",0.1,"Carboplatin","Org64","Sample"
"C2","C",2,17531,"C02","uM",0,"TritonX","Org64","negative_control"
"C3","C",3,12057,"C03","uM",20,"5-Fluouracil","Org64","Sample"
"C4","C",4,13340,"C04","uM",10,"5-Fluouracil","Org64","Sample"
"C5","C",5,13780,"C05","uM",7.5,"5-Fluouracil","Org64","Sample"
"C6","C",6,15521,"C06","uM",5,"5-Fluouracil","Org64","Sample"
"C7","C",7,17209,"C07","uM",2,"5-Fluouracil","Org64","Sample"
"C8","C",8,17358,"C08","uM",1,"5-Fluouracil","Org64","Sample"
"C9","C",9,14968,"C09","uM",0.75,"5-Fluouracil","Org64","Sample"
"C10","C",10,18422,"C10","uM",0.5,"5-Fluouracil","Org64","Sample"
"C11","C",11,22204,"C11","uM",0.2,"5-Fluouracil","Org64","Sample"
"C12","C",12,19668,"C12","uM",0.1,"5-Fluouracil","Org64","Sample"
"C13","C",13,8865,"C13","uM",0,"TritonX","Org64","negative_control"
"C14","C",14,8289,"C14","uM",20,"Docetaxel","Org64","Sample"
"C15","C",15,9069,"C15","uM",10,"Docetaxel","Org64","Sample"
"C16","C",16,7821,"C16","uM",7.5,"Docetaxel","Org64","Sample"
"C17","C",17,8999,"C17","uM",5,"Docetaxel","Org64","Sample"
"C18","C",18,6769,"C18","uM",2,"Docetaxel","Org64","Sample"
"C19","C",19,6654,"C19","uM",1,"Docetaxel","Org64","Sample"
"C20","C",20,6410,"C20","uM",0.75,"Docetaxel","Org64","Sample"
"C21","C",21,5587,"C21","uM",0.5,"Docetaxel","Org64","Sample"
"C22","C",22,5569,"C22","uM",0.2,"Docetaxel","Org64","Sample"
"C23","C",23,5474,"C23","uM",0.1,"Docetaxel","Org64","Sample"
"D2","D",2,22307,"D02","uM",0,"DMSO","Org64","negative_control"
"D3","D",3,14771,"D03","uM",20,"Leucovorin","Org64","Sample"
"D4","D",4,20263,"D04","uM",10,"Leucovorin","Org64","Sample"
"D5","D",5,14655,"D05","uM",7.5,"Leucovorin","Org64","Sample"
"D6","D",6,16355,"D06","uM",5,"Leucovorin","Org64","Sample"
"D7","D",7,18675,"D07","uM",2,"Leucovorin","Org64","Sample"
"D8","D",8,16272,"D08","uM",1,"Leucovorin","Org64","Sample"
"D9","D",9,15729,"D09","uM",0.75,"Leucovorin","Org64","Sample"
"D10","D",10,17644,"D10","uM",0.5,"Leucovorin","Org64","Sample"
"D11","D",11,20064,"D11","uM",0.2,"Leucovorin","Org64","Sample"
"D12","D",12,19718,"D12","uM",0.1,"Leucovorin","Org64","Sample"
"D13","D",13,12417,"D13","uM",0,"DMSO","Org64","negative_control"
"D14","D",14,4178,"D14","uM",20,"Cisplatin","Org64","Sample"
"D15","D",15,8904,"D15","uM",10,"Cisplatin","Org64","Sample"
"D16","D",16,9113,"D16","uM",7.5,"Cisplatin","Org64","Sample"
"D17","D",17,12041,"D17","uM",5,"Cisplatin","Org64","Sample"
"D18","D",18,10678,"D18","uM",2,"Cisplatin","Org64","Sample"
"D19","D",19,12595,"D19","uM",1,"Cisplatin","Org64","Sample"
"D20","D",20,15344,"D20","uM",0.75,"Cisplatin","Org64","Sample"
"D21","D",21,16716,"D21","uM",0.5,"Cisplatin","Org64","Sample"
"D22","D",22,14225,"D22","uM",0.2,"Cisplatin","Org64","Sample"
"D23","D",23,19562,"D23","uM",0.1,"Cisplatin","Org64","Sample"
"E2","E",2,28243,"E02","uM",0,"Media","Org64","negative_control"
"E3","E",3,5821,"E03","uM",20,"Irinotecan","Org64","Sample"
"E4","E",4,6129,"E04","uM",10,"Irinotecan","Org64","Sample"
"E5","E",5,7329,"E05","uM",7.5,"Irinotecan","Org64","Sample"
"E6","E",6,7485,"E06","uM",5,"Irinotecan","Org64","Sample"
"E7","E",7,9304,"E07","uM",2,"Irinotecan","Org64","Sample"
"E8","E",8,11741,"E08","uM",1,"Irinotecan","Org64","Sample"
"E9","E",9,13378,"E09","uM",0.75,"Irinotecan","Org64","Sample"
"E10","E",10,15444,"E10","uM",0.5,"Irinotecan","Org64","Sample"
"E11","E",11,22832,"E11","uM",0.2,"Irinotecan","Org64","Sample"
"E12","E",12,21854,"E12","uM",0.1,"Irinotecan","Org64","Sample"
"E13","E",13,19902,"E13","uM",0,"Media","Org64","negative_control"
"E14","E",14,8890,"E14","uM",20,"Paclitaxel","Org64","Sample"
"E15","E",15,10128,"E15","uM",10,"Paclitaxel","Org64","Sample"
"E16","E",16,8883,"E16","uM",7.5,"Paclitaxel","Org64","Sample"
"E17","E",17,8115,"E17","uM",5,"Paclitaxel","Org64","Sample"
"E18","E",18,7051,"E18","uM",2,"Paclitaxel","Org64","Sample"
"E19","E",19,5860,"E19","uM",1,"Paclitaxel","Org64","Sample"
"E20","E",20,5565,"E20","uM",0.75,"Paclitaxel","Org64","Sample"
