Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org73,1,B2,B02,Media,0,uM,negative_control,29315,B,2
Org73,1,B3,B03,Staurosporine,20,uM,positive_control,467,B,3
Org73,1,B4,B04,Staurosporine,10,uM,positive_control,295,B,4
Org73,1,B5,B05,Staurosporine,7.5,uM,positive_control,514,B,5
Org73,1,B6,B06,Staurosporine,5,uM,positive_control,996,B,6
Org73,1,B7,B07,Staurosporine,2,uM,positive_control,1294,B,7
Org73,1,B8,B08,Staurosporine,1,uM,positive_control,1069,B,8
Org73,1,B9,B09,Staurosporine,0.75,uM,positive_control,737,B,9
Org73,1,B10,B10,Staurosporine,0.5,uM,positive_control,734,B,10
Org73,1,B11,B11,Staurosporine,0.2,uM,positive_control,1234,B,11
Org73,1,B12,B12,Staurosporine,0.1,uM,positive_control,1697,B,12
Org73,1,B13,B13,Media,0,uM,negative_control,26437,B,13
Org73,1,B14,B14,Carboplatin,20,uM,Sample,14825,B,14
Org73,1,B15,B15,Carboplatin,10,uM,Sample,18737,B,15
Org73,1,B16,B16,Carboplatin,7.5,uM,Sample,21213,B,16
Org73,1,B17,B17,Carboplatin,5,uM,Sample,23393,B,17
Org73,1,B18,B18,Carboplatin,2,uM,Sample,25063,B,18
Org73,1,B19,B19,Carboplatin,1,uM,Sample,26609,B,19
Org73,1,B20,B20,Carboplatin,0.75,uM,Sample,25614,B,20
Org73,1,B21,B21,Carboplatin,0.5,uM,Sample,29681,B,21
Org73,1,B22,B22,Carboplatin,0.2,uM,Sample,5075,B,22
Org73,1,B23,B23,Carboplatin,0.1,uM,Sample,3046,B,23
Org73,1,C2,C02,TritonX,0,uM,negative_control,29035,C,2
Org73,1,C3,C03,5-Fluouracil,20,uM,Sample,25513,C,3
Org73,1,C4,C04,5-Fluouracil,10,uM,Sample,27979,C,4
Org73,1,C5,C05,5-Fluouracil,7.5,uM,Sample,26807,C,5
Org73,1,C6,C06,5-Fluouracil,5,uM,Sample,22052,C,6
Org73,1,C7,C07,5-Fluouracil,2,uM,Sample,25780,C,7
Org73,1,C8,C08,5-Fluouracil,1,uM,Sample,33393,C,8
Org73,1,C9,C09,5-Fluouracil,0.75,uM,Sample,36393,C,9
Org73,1,C10,C10,5-Fluouracil,0.5,uM,Sample,28981,C,10
Org73,1,C11,C11,5-Fluouracil,0.2,uM,Sample,33074,C,11
Org73,1,C12,C12,5-Fluouracil,0.1,uM,Sample,26232,C,12
Org73,1,C13,C13,TritonX,0,uM,negative_control,21477,C,13
Org73,1,C14,C14,Docetaxel,20,uM,Sample,14009,C,14
Org73,1,C15,C15,Docetaxel,10,uM,Sample,12163,C,15
Org73,1,C16,C16,Docetaxel,7.5,uM,Sample,11976,C,16
Org73,1,C17,C17,Docetaxel,5,uM,Sample,10582,C,17
Org73,1,C18,C18,Docetaxel,2,uM,Sample,9610,C,18
Org73,1,C19,C19,Docetaxel,1,uM,Sample,10430,C,19
Org73,1,C20,C20,Docetaxel,0.75,uM,Sample,10545,C,20
Org73,1,C21,C21,Docetaxel,0.5,uM,Sample,6428,C,21
Org73,1,C22,C22,Docetaxel,0.2,uM,Sample,2239,C,22
Org73,1,C23,C23,Docetaxel,0.1,uM,Sample,13140,C,23
Org73,1,D2,D02,DMSO,0,uM,negative_control,31009,D,2
Org73,1,D3,D03,Leucovorin,20,uM,Sample,31636,D,3
Org73,1,D4,D04,Leucovorin,10,uM,Sample,30956,D,4
Org73,1,D5,D05,Leucovorin,7.5,uM,Sample,29400,D,5
Org73,1,D6,D06,Leucovorin,5,uM,Sample,29697,D,6
Org73,1,D7,D07,Leucovorin,2,uM,Sample,33384,D,7
Org73,1,D8,D08,Leucovorin,1,uM,Sample,30022,D,8
Org73,1,D9,D09,Leucovorin,0.75,uM,Sample,29459,D,9
Org73,1,D10,D10,Leucovorin,0.5,uM,Sample,40605,D,10
Org73,1,D11,D11,Leucovorin,0.2,uM,Sample,28438,D,11
Org73,1,D12,D12,Leucovorin,0.1,uM,Sample,28951,D,12
Org73,1,D13,D13,DMSO,0,uM,negative_control,29593,D,13
Org73,1,D14,D14,Cisplatin,20,uM,Sample,2574,D,14
Org73,1,D15,D15,Cisplatin,10,uM,Sample,14586,D,15
Org73,1,D16,D16,Cisplatin,7.5,uM,Sample,21446,D,16
Org73,1,D17,D17,Cisplatin,5,uM,Sample,22488,D,17
Org73,1,D18,D18,Cisplatin,2,uM,Sample,29240,D,18
Org73,1,D19,D19,Cisplatin,1,uM,Sample,30829,D,19
Org73,1,D20,D20,Cisplatin,0.75,uM,Sample,28765,D,20
Org73,1,D21,D21,Cisplatin,0.5,uM,Sample,30786,D,21
Org73,1,D22,D22,Cisplatin,0.2,uM,Sample,17764,D,22
Org73,1,D23,D23,Cisplatin,0.1,uM,Sample,45860,D,23
Org73,1,E2,E02,Media,0,uM,negative_control,29756,E,2
