Patient,Replicate,Well_ID,WELL_ID,Compound_ID,Concentration,Units,Description,CTG,Row,Col
Org70,1,B2,B02,Media,0,uM,negative_control,20993,B,2
Org70,1,B3,B03,Staurosporine,20,uM,positive_control,426,B,3
Org70,1,B4,B04,Staurosporine,10,uM,positive_control,504,B,4
Org70,1,B5,B05,Staurosporine,7.5,uM,positive_control,2106,B,5
Org70,1,B6,B06,Staurosporine,5,uM,positive_control,3259,B,6
Org70,1,B7,B07,Staurosporine,2,uM,positive_control,3422,B,7
Org70,1,B8,B08,Staurosporine,1,uM,positive_control,2331,B,8
Org70,1,B9,B09,Staurosporine,0.75,uM,positive_control,1803,B,9
Org70,1,B10,B10,Staurosporine,0.5,uM,positive_control,3265,B,10
Org70,1,B11,B11,Staurosporine,0.2,uM,positive_control,6725,B,11
Org70,1,B12,B12,Staurosporine,0.1,uM,positive_control,9164,B,12
Org70,1,B13,NA,Media,0,uM,negative_control,17862,B,13
Org70,1,B14,B14,Carboplatin,20,uM,Sample,10937,B,14
Org70,1,B15,B15,Carboplatin,10,uM,Sample,13773,B,15
Org70,1,B16,B16,Carboplatin,7.5,uM,Sample,14484,B,16
Org70,1,B17,B17,Carboplatin,5,uM,Sample,17838,B,17
Org70,1,B18,B18,Carboplatin,2,uM,Sample,17792,B,18
Org70,1,B19,B19,Carboplatin,1,uM,Sample,18709,B,19
Org70,1,B20,B20,Carboplatin,0.75,uM,Sample,18818,B,20
Org70,1,B21,B21,Carboplatin,0.5,uM,Sample,18733,B,21
Org70,1,B22,B22,Carboplatin,0.2,uM,Sample,20617,B,22
Org70,1,B23,B23,Carboplatin,0.1,uM,Sample,21577,B,23
Org70,1,C2,C02,TritonX,0,uM,negative_control,18273,C,2
Org70,1,C3,C03,5-Fluouracil,20,uM,Sample,19336,C,3
Org70,1,C4,C04,5-Fluouracil,10,uM,Sample,20665,C,4
Org70,1,C5,C05,5-Fluouracil,7.5,uM,Sample,21594,C,5
Org70,1,C6,C06,5-Fluouracil,5,uM,Sample,20966,C,6
Org70,1,C7,C07,5-Fluouracil,2,uM,Sample,20225,C,7
Org70,1,C8,C08,5-Fluouracil,1,uM,Sample,19937,C,8
Org70,1,C9,C09,5-Fluouracil,0.75,uM,Sample,20287,C,9
Org70,1,C10,C10,5-Fluouracil,0.5,uM,Sample,22891,C,10
Org70,1,C11,C11,5-Fluouracil,0.2,uM,Sample,21969,C,11
Org70,1,C12,C12,5-Fluouracil,0.1,uM,Sample,20715,C,12
Org70,1,C13,C13,TritonX,0,uM,negative_control,14266,C,13
Org70,1,C14,C14,Docetaxel,20,uM,Sample,12352,C,14
Org70,1,C15,C15,Docetaxel,10,uM,Sample,13506,C,15
Org70,1,C16,C16,Docetaxel,7.5,uM,Sample,12365,C,16
Org70,1,C17,C17,Docetaxel,5,uM,Sample,13512,C,17
Org70,1,C18,C18,Docetaxel,2,uM,Sample,10550,C,18
Org70,1,C19,C19,Docetaxel,1,uM,Sample,9822,C,19
Org70,1,C20,C20,Docetaxel,0.75,uM,Sample,9693,C,20
Org70,1,C21,C21,Docetaxel,0.5,uM,Sample,9641,C,21
Org70,1,C22,C22,Docetaxel,0.2,uM,Sample,9042,C,22
Org70,1,C23,C23,Docetaxel,0.1,uM,Sample,4045,C,23
Org70,1,D2,D02,DMSO,0,uM,negative_control,20408,D,2
Org70,1,D3,D03,Leucovorin,20,uM,Sample,19426,D,3
Org70,1,D4,D04,Leucovorin,10,uM,Sample,17627,D,4
Org70,1,D5,D05,Leucovorin,7.5,uM,Sample,17340,D,5
Org70,1,D6,D06,Leucovorin,5,uM,Sample,17525,D,6
Org70,1,D7,D07,Leucovorin,2,uM,Sample,19146,D,7
Org70,1,D8,D08,Leucovorin,1,uM,Sample,19867,D,8
Org70,1,D9,D09,Leucovorin,0.75,uM,Sample,17247,D,9
Org70,1,D10,D10,Leucovorin,0.5,uM,Sample,18303,D,10
Org70,1,D11,D11,Leucovorin,0.2,uM,Sample,18679,D,11
Org70,1,D12,D12,Leucovorin,0.1,uM,Sample,18020,D,12
Org70,1,D13,D13,DMSO,0,uM,negative_control,15559,D,13
Org70,1,D14,D14,Cisplatin,20,uM,Sample,7278,D,14
Org70,1,D15,D15,Cisplatin,10,uM,Sample,10347,D,15
Org70,1,D16,D16,Cisplatin,7.5,uM,Sample,10546,D,16
Org70,1,D17,D17,Cisplatin,5,uM,Sample,12512,D,17
Org70,1,D18,D18,Cisplatin,2,uM,Sample,15511,D,18
Org70,1,D19,D19,Cisplatin,1,uM,Sample,15654,D,19
Org70,1,D20,D20,Cisplatin,0.75,uM,Sample,16488,D,20
Org70,1,D21,D21,Cisplatin,0.5,uM,Sample,18689,D,21
Org70,1,D22,D22,Cisplatin,0.2,uM,Sample,19416,D,22
Org70,1,D23,D23,Cisplatin,0.1,uM,Sample,18262,D,23
Org70,1,E2,E02,Media,0,uM,negative_control,20533,E,2
Org70,1,E3,E03,Irinotecan,20,uM,Sample,15547,E,3
Org70,1,E4,E04,Irinotecan,10,uM,Sample,17305,E,4
Org70,1,E5,E05,Irinotecan,7.5,uM,Sample,17325,E,5
Org70,1,E6,E06,Irinotecan,5,uM,Sample,17766,E,6
Org70,1,E7,E07,Irinotecan,2,uM,Sample,18188,E,7
Org70,1,E8,E08,Irinotecan,1,uM,Sample,19314,E,8
Org70,1,E9,E09,Irinotecan,0.75,uM,Sample,19654,E,9
Org70,1,E10,E10,Irinotecan,0.5,uM,Sample,19782,E,10
Org70,1,E11,E11,Irinotecan,0.2,uM,Sample,19640,E,11
Org70,1,E12,E12,Irinotecan,0.1,uM,Sample,20023,E,12
Org70,1,E13,E13,Media,0,uM,negative_control,16560,E,13
Org70,1,E14,E14,Paclitaxel,20,uM,Sample,12935,E,14
Org70,1,E15,E15,Paclitaxel,10,uM,Sample,11854,E,15
Org70,1,E16,E16,Paclitaxel,7.5,uM,Sample,11023,E,16
Org70,1,E17,E17,Paclitaxel,5,uM,Sample,10868,E,17
Org70,1,E18,E18,Paclitaxel,2,uM,Sample,10309,E,18
Org70,1,E19,E19,Paclitaxel,1,uM,Sample,9839,E,19
Org70,1,E20,E20,Paclitaxel,0.75,uM,Sample,10625,E,20
Org70,1,E21,E21,Paclitaxel,0.5,uM,Sample,10059,E,21
Org70,1,E22,E22,Paclitaxel,0.2,uM,Sample,12368,E,22
Org70,1,E23,E23,Paclitaxel,0.1,uM,Sample,14258,E,23
Org70,1,F2,F02,TritonX,0,uM,negative_control,16111,F,2
Org70,1,F3,F03,Oxaliplatin,20,uM,Sample,12923,F,3
Org70,1,F4,F04,Oxaliplatin,10,uM,Sample,15139,F,4
Org70,1,F5,F05,Oxaliplatin,7.5,uM,Sample,15795,F,5
Org70,1,F6,F06,Oxaliplatin,5,uM,Sample,15796,F,6
Org70,1,F7,F07,Oxaliplatin,2,uM,Sample,19709,F,7
Org70,1,F8,F08,Oxaliplatin,1,uM,Sample,21259,F,8
Org70,1,F9,F09,Oxaliplatin,0.75,uM,Sample,20692,F,9
Org70,1,F10,F10,Oxaliplatin,0.5,uM,Sample,19567,F,10
Org70,1,F11,F11,Oxaliplatin,0.2,uM,Sample,19130,F,11
Org70,1,F12,F12,Oxaliplatin,0.1,uM,Sample,18971,F,12
Org70,1,F13,F13,TritonX,0,uM,negative_control,16678,F,13
Org70,1,F14,F14,Topotecan,20,uM,positive_control,2497,F,14
Org70,1,F15,F15,Topotecan,10,uM,positive_control,3313,F,15
Org70,1,F16,F16,Topotecan,7.5,uM,positive_control,3712,F,16
Org70,1,F17,F17,Topotecan,5,uM,positive_control,5258,F,17
Org70,1,F18,F18,Topotecan,2,uM,Sample,8358,F,18
Org70,1,F19,F19,Topotecan,1,uM,Sample,10245,F,19
Org70,1,F20,F20,Topotecan,0.75,uM,Sample,11701,F,20
Org70,1,F21,F21,Topotecan,0.5,uM,Sample,15777,F,21
Org70,1,F22,F22,Topotecan,0.2,uM,Sample,21760,F,22
Org70,1,F23,F23,Topotecan,0.1,uM,Sample,23745,F,23
Org70,1,G2,G02,DMSO,0,uM,negative_control,21025,G,2
Org70,1,G3,G03,Doxorubicin,20,uM,positive_control,2215,G,3
Org70,1,G4,G04,Doxorubicin,10,uM,positive_control,1222,G,4
Org70,1,G5,G05,Doxorubicin,7.5,uM,positive_control,2226,G,5
Org70,1,G6,G06,Doxorubicin,5,uM,Sample,5896,G,6
Org70,1,G7,G07,Doxorubicin,2,uM,Sample,13434,G,7
Org70,1,G8,G08,Doxorubicin,1,uM,Sample,15211,G,8
Org70,1,G9,G09,Doxorubicin,0.75,uM,Sample,16354,G,9
Org70,1,G10,G10,Doxorubicin,0.5,uM,Sample,21058,G,10
Org70,1,G11,G11,Doxorubicin,0.2,uM,Sample,20988,G,11
Org70,1,G12,G12,Doxorubicin,0.1,uM,Sample,19201,G,12
Org70,1,G13,G13,DMSO,0,uM,negative_control,17887,G,13
Org70,1,G14,G14,Mitomycin C,20,uM,positive_control,451,G,14
Org70,1,G15,G15,Mitomycin C,10,uM,positive_control,205,G,15
Org70,1,G16,G16,Mitomycin C,7.5,uM,positive_control,884,G,16
Org70,1,G17,G17,Mitomycin C,5,uM,positive_control,2711,G,17
Org70,1,G18,G18,Mitomycin C,2,uM,Sample,12940,G,18
Org70,1,G19,G19,Mitomycin C,1,uM,Sample,18249,G,19
Org70,1,G20,G20,Mitomycin C,0.75,uM,Sample,18141,G,20
Org70,1,G21,G21,Mitomycin C,0.5,uM,Sample,16465,G,21
Org70,1,G22,G22,Mitomycin C,0.2,uM,Sample,17909,G,22
Org70,1,G23,G23,Mitomycin C,0.1,uM,Sample,19587,G,23
Org70,1,H2,H02,Media,0,uM,negative_control,28693,H,2
Org70,1,H3,H03,Gemcitabine,20,uM,Sample,7099,H,3
Org70,1,H4,H04,Gemcitabine,10,uM,Sample,7604,H,4
Org70,1,H5,H05,Gemcitabine,7.5,uM,Sample,9239,H,5
Org70,1,H6,H06,Gemcitabine,5,uM,Sample,10678,H,6
Org70,1,H7,H07,Gemcitabine,2,uM,Sample,13214,H,7
Org70,1,H8,H08,Gemcitabine,1,uM,Sample,15234,H,8
Org70,1,H9,H09,Gemcitabine,0.75,uM,Sample,14960,H,9
Org70,1,H10,H10,Gemcitabine,0.5,uM,Sample,13679,H,10
Org70,1,H11,H11,Gemcitabine,0.2,uM,Sample,14325,H,11
Org70,1,H12,H12,Gemcitabine,0.1,uM,Sample,16917,H,12
Org70,1,H13,H13,Media,0,uM,negative_control,6781,H,13
Org70,1,H14,H14,Cetuximab,5,uM,Sample,141,H,14
Org70,1,H15,H15,Cetuximab,2,uM,Sample,153,H,15
Org70,1,H16,H16,Cetuximab,1,uM,Sample,6881,H,16
Org70,1,H17,H17,Cetuximab,0.75,uM,Sample,5756,H,17
Org70,1,H18,H18,Cetuximab,0.5,uM,Sample,7012,H,18
Org70,1,H19,H19,Cetuximab,0.2,uM,Sample,10663,H,19
Org70,1,H20,H20,Cetuximab,0.1,uM,Sample,15691,H,20
Org70,1,H21,H21,Cetuximab,0.05,uM,Sample,18805,H,21
Org70,1,H22,H22,Cetuximab,0.02,uM,Sample,18167,H,22
Org70,1,H23,H23,Cetuximab,0.01,uM,Sample,20344,H,23
Org70,1,I2,I02,TritonX,0,uM,negative_control,19522,I,2
